count	word
8748	mensch
8724	ziemlich
8702	wiedersehen
8699	zeigen
8688	spiel
8681	idee
8654	eben
8637	tage
8634	hoffe
8594	schlecht
8585	letzten
8580	stunden
8559	gefallen
8553	niemals
8546	solltest
8537	versuchen
8530	a
8524	trinken
8499	bett
8486	woche
8481	schlafen
8469	seite
8430	musste
8428	lässt
8426	glaubst
8410	miss
8396	denkst
8383	schatz
8367	kleinen
8358	gehst
8334	erzählt
8326	ersten
8269	wort
8264	manchmal
8244	wahrheit
8244	guter
8181	gefällt
8169	unserer
8155	wollten
8147	kleiner
8080	denen
8045	gesicht
8019	getötet
8016	herz
8001	entschuldigung
7958	zwischen
7957	unten
7929	schuld
7915	fest
7902	allen
7881	ernst
7856	oft
7842	anderes
7841	o
7836	nehme
7816	wohin
7806	bleib
7768	sachen
7759	beste
7740	spaß
7738	typ
7735	frei
7732	bedeutet
7711	würdest
7682	läuft
7681	entschuldigen
7678	euer
7675	film
7650	schule
7635	erzählen
7626	versucht
7621	dollar
7603	bloß
7598	ort
7584	i
7560	während
7518	alte
7479	kriegen
7466	chance
7461	alt
7433	jungen
7433	beiden
7421	pass
7394	platz
7366	wichtig
7365	bring
7334	glücklich
7319	tu
7286	ding
7264	setzen
7253	arsch
7252	wen
7247	freundin
7183	s
7167	hund
7152	einige
7141	wären
7135	sorge
7128	nummer
7125	hättest
7117	sondern
7101	neuen
7064	hierher
7018	blut
7009	drauf
6973	unseren
6943	besten
6928	stellen
6909	john
6899	telefon
6882	wartet
6872	kennst
6853	früh
6816	zuerst
6802	alten
6765	doktor
6762	früher
6743	scheiß
6724	tust
6718	kaum
6697	wollt
6676	brauchst
6647	dürfen
6639	hände
6621	gedacht
6616	jack
6611	eltern
6600	feuer
6582	rede
6555	scheint
6551	reicht
6540	schiff
6539	möglich
6524	großen
6492	jede
6491	lieben
6465	falls
6405	teil
6374	willkommen
6356	waffe
6329	könig
6314	langsam
6311	voll
6284	stunde
6241	geworden
6145	ruf
6144	zehn
6136	ehrlich
6087	außer
6064	irgendwas
6053	leider
6052	gebe
6025	sechs
6015	heiraten
6013	spricht
6011	überall
6009	nächsten
6006	meines
6000	allem
5988	wahrscheinlich
5987	luft
5968	lernen
5961	wochen
5939	new
5934	falsch
5926	nächste
5895	hol
5858	völlig
5841	kaffee
5799	herren
5798	gegeben
5787	seht
5753	menge
5752	irgendwie
5743	schaffen
5733	trotzdem
5732	verstehst
5717	könnt
5711	hölle
5689	wem
5676	krank
5675	neues
5673	stelle
5670	danach
